#año,gasto_ingreso,capitulo,articulo,concepto,subconcepto,EU
2012,INGRESO,7,,,,Kapital-transferentziak
2012,INGRESO,8,,,,Finantza-aktiboak
2012,INGRESO,9,,,,Finantza-pasiboak
2012,INGRESO,1,0,,,Errentaren gaineko zuzeneko zergak
2012,INGRESO,1,1,,,Kapitalaren gaineko zuzeneko zergak
2012,INGRESO,1,9,,,Iraungitako zuzeneko zergak
2012,INGRESO,2,1,,,Balio erantsiaren gaineko Zerga
2012,INGRESO,2,2,,,Kontsumo berezien gaineko zerga
2012,INGRESO,2,8,,,Zeharkako beste zerga batzuk
2012,INGRESO,3,0,,,Zerga-tasak
2012,INGRESO,3,1,,,Zerbitzuak emateagatiko prezio publikoak
2012,INGRESO,3,3,,,Ondasunen salmenta
2012,INGRESO,3,8,,,Operazioen itzulketak
2012,INGRESO,3,9,,,Bestelako sarrerak
2012,INGRESO,4,0,,,Estatuko administrazioaren transferentzia arruntak
2012,INGRESO,4,4,,,Enpresa publikoen eta beste erakunde publiko batzuen transferentzia arruntak
2012,INGRESO,4,5,,,Autonomia-erkidegoen transferentzia arruntak
2012,INGRESO,4,7,,,Enpresa pribatuen transferentzia arruntak
2012,INGRESO,4,8,,,Familien eta irabazi-asmorik gabeko erakundeen transferentzia arruntak
2012,INGRESO,4,9,,,Kanpoko transferentzia arruntak
2012,INGRESO,5,0,,,Tituluen eta baloreen interesak
2012,INGRESO,5,1,,,Emandako aurrerakinen eta maileguen interesak
2012,INGRESO,5,2,,,Gordailuen eta atzerapenen interesak
2012,INGRESO,5,3,,,Dibidenduak eta mozkinen partizipazioak
2012,INGRESO,5,4,,,Ondasun higiezinen errentak
2012,INGRESO,5,5,,,Emakiden eta aprobetxamendu berezien emaitzak
2012,INGRESO,6,0,,,Lurren besterentzea
2012,INGRESO,6,1,,,Beste inbertsio erreal batzuen besterentzea
2012,INGRESO,7,0,,,Estatuko administrazioaren kapital-transferentziak
2012,INGRESO,7,4,,,Enpresa publikoen eta beste erakunde publiko batzuen kapital-transferentziak
2012,INGRESO,7,6,,,Tokiko erakundeen kapital-transferentziak
2012,INGRESO,7,8,,,Familien eta irabazi-asmorik gabeko erakundeen kapital-transferentziak
2012,INGRESO,7,9,,,Kanpoko kapital-transferentziak
2012,INGRESO,8,2,,,Sektore publikoari emandako maileguen itzulketak
2012,INGRESO,8,3,,,Sektore publikotik kanpo emandako maileguen itzulketak
2012,INGRESO,9,0,,,Zor publikoa jaulkitzea moneta nazionalean
2012,INGRESO,9,1,,,Moneta nazionalean jasotako maileguak
2012,INGRESO,1,0,0,,Pertsona fisikoen errentaren gaineko zerga
2012,INGRESO,1,0,1,,Sozietateen gaineko zerga
2012,INGRESO,1,0,2,,Ez-egoiliarren errentaren gaineko zerga
2012,INGRESO,1,1,0,,Ondarearen gaineko zergaren ondoriozko diru-sarrerak
2012,INGRESO,1,1,2,,Oinordetzen eta dohaintzen gaineko zerga
2012,INGRESO,1,9,0,,Iraungitako zuzeneko zergak
2012,INGRESO,2,1,0,,Balio erantsiaren gaineko Zerga
2012,INGRESO,2,2,0,,Zerga bereziak
2012,INGRESO,2,2,1,,Kontsumo berezien gaineko beste zerga batzuk
2012,INGRESO,2,8,1,,Aseguru-primen gaineko zerga
2012,INGRESO,2,8,2,,Bizien arteko ondare-eskualdatzeen gaineko zerga
2012,INGRESO,2,8,3,,Egintza juridiko dokumentatuen gaineko zerga
2012,INGRESO,3,0,0,,Joko-jardueren ondoriozko tasak
2012,INGRESO,3,0,1,,Administrazio-zerbitzuengatik ordaindu beharreko tasa
2012,INGRESO,3,0,2,,"Ehizako, arrantzako, barrutietako eta bestelako lizentzien tasak"
2012,INGRESO,3,0,4,,Garraioa antolatzeko zerbitzuen tasak
2012,INGRESO,3,0,5,,"Industria-, energia- eta meatzaritza-zerbitzuen tasak"
2012,INGRESO,3,0,7,,Tasa akademikoak eta azterketa-eskubideak
2012,INGRESO,3,0,8,,Telekomunikazio-tasak
2012,INGRESO,3,0,9,,Bestelako tasak
2012,INGRESO,3,1,0,,Hezkuntza-zerbitzuak ematea
2012,INGRESO,3,1,1,,"Kultura-, kirol- eta aisialdi-zerbitzuak ematea"
2012,INGRESO,3,1,2,,Osasun- eta gizarte-zerbitzuak ematea
2012,INGRESO,3,1,3,,Garraio-zerbitzuak ematea
2012,INGRESO,3,1,9,,Bestelako zerbitzuak ematea
2012,INGRESO,3,3,0,,Ondasunen salmenta
2012,INGRESO,3,8,0,,Itxitako ekitaldietako itzulketak
2012,INGRESO,3,8,1,,Aurrekontu arruntaren itzulketak
2012,INGRESO,3,8,9,,Beste itzulketa batzuk
2012,INGRESO,3,9,0,,Eskubide pasiboetako kuotak
2012,INGRESO,3,9,1,,"Isunak, zehapenak, interesak eta errekarguak"
2012,INGRESO,3,9,9,,Bestelako sarrerak
2012,INGRESO,4,0,0,,Estatuko administrazioaren transferentzia arruntak
2012,INGRESO,4,4,0,,Enpresa publikoen transferentzia arruntak
2012,INGRESO,4,4,1,,Beste erakunde publiko batzuen transferentzia arruntak
2012,INGRESO,4,5,0,,Autonomia-erkidegoen transferentzia arruntak
2012,INGRESO,4,7,0,,Enpresa pribatuen transferentzia arruntak
2012,INGRESO,4,8,0,,Familien eta irabazi-asmorik gabeko erakundeen transferentzia arruntak
2012,INGRESO,4,9,0,,Europar Batasunaren transferentzia arruntak
2012,INGRESO,5,0,0,,Tituluen eta baloreen interesak
2012,INGRESO,5,1,0,,Emandako aurrerakinen eta maileguen interesak
2012,INGRESO,5,2,0,,Gordailuen eta atzerapenen interesak
2012,INGRESO,5,3,0,,Dibidenduak eta mozkinen partizipazioak
2012,INGRESO,5,4,0,,Ondasun higiezinen errentak
2012,INGRESO,5,5,0,,Administrazioaren emakidak
2012,INGRESO,6,0,0,,Lurren besterentzea
2012,INGRESO,6,1,0,,Eraikinen salmenta
2012,INGRESO,6,1,2,,Ekipamenduen salmenta
2012,INGRESO,7,0,0,,Estatuko administrazioaren kapital-transferentziak
2012,INGRESO,7,4,0,,Enpresa publikoen kapital-transferentziak
2012,INGRESO,7,4,1,,Beste erakunde publiko batzuen kapital-transferentziak
2012,INGRESO,7,6,0,,Nafarroako tokiko erakundeen kapital-transferentziak
